|The Alchemist|http://img7.flixcart.com/image/book/9/8/0/the-alchemist-275x275-imad8fbvqdjbrd9y.jpeg|Paulo Coelho#Books%Literature and Fiction%Literary Collections%African#8172234988#9788172234980#Paperback#2005#Harper Collins Publishers#1stEdition#English|8172234988|9788172234980|
|The Sins of the Father|http://img6.flixcart.com//image/book/2/2/5/the-sins-of-the-father-275x275-imad6qcyxgntdpfu.jpeg|Jeffrey Archer#Books%Literature and Fiction%Literary Collections%Literary#1447209222#9781447209225#Paperback#2012#Pan Macmillan#N.A.#English|1447209222|9781447209225|
|The Affair|http://img8.flixcart.com/image/book/5/1/0/the-affair-275x275-imad9f69yay6xfwd.jpeg|Lee Child#Books%Literature and Fiction%Crime#0553825518#9780553825510#Paperback#2012#Bantam#N.A.#English|0553825518|9780553825510|
|Calico Joe|http://img5.flixcart.com//image/book/1/8/7/calico-joe-275x275-imad6p9jmjpztbcc.jpeg|John Grisham#Books%Literature and Fiction%Others%Sagas#1444757180#9781444757187#Paperback#2012#Hachette India/Hodder & Stoughton#N.A.#English|1444757180|9781444757187|
|2 States: The Story of My Marriage|http://img7.flixcart.com/img/300/9788129115300.jpg|Chetan Bhagat#Books%Literature and Fiction%Urban Life#8129115301#9788129115300#Paperback#2009#Rupa & Co#4thEdition#English|8129115301|9788129115300|
|The Fountainhead|http://img8.flixcart.com/img/151/9780451191151.jpg|Ayn Rand#Books%Literature and Fiction%Classics#0451191153#9780451191151#Paperback#1996#Signet#1stEdition#English|0451191153|9780451191151|
|Tea for Two and a Piece of Cake|http://img8.flixcart.com/img/799/9788184002799.jpg|Preeti Shenoy#Books%Literature and Fiction%Romance#8184002793#9788184002799#Paperback#2012#Ebury Press (Random House India)#N.A.#English|8184002793|9788184002799|
|Revolution 2020|http://img5.flixcart.com/image/book/8/0/6/revolution-2020-275x275-imad7zupv5yy7jhx.jpeg|Chetan Bhagat#Books%Literature and Fiction%Romance%Contemporary#8129118807#9788129118806#Paperback#2011#Rupa & Co#1st#English|8129118807|9788129118806|
|Only Time Will Tell|http://img6.flixcart.com/img/670/9780330535670.jpg|Jeffrey Archer#Books%Literature and Fiction%Suspense and Thriller#0330535676#9780330535670#Paperback#2011#Pan Macmillan#N.A.#English|0330535676|9780330535670|
|Midnight's Children|http://img8.flixcart.com/img/512/9780099578512.jpg|Salman Rushdie#Books%Literature and Fiction%Literary Collections%General#0099578514#9780099578512#Paperback#1995#Vintage#1stEdition#English|0099578514|9780099578512|
|I Too Had A Love Story|http://img5.flixcart.com/img/701/9788188575701.jpg|Ravinder Singh#Books%Literature and Fiction%Romance#8188575704#9788188575701#Paperback#2009#Srishti Publishers & Distributors#01#English|8188575704|9788188575701|
|The Bride Stripped Bare|http://img5.flixcart.com/img/540/9780007163540.jpg|Nikki Gemmell#Books%Literature and Fiction%Suspense and Thriller#0007163541#9780007163540#Paperback#2012#Fourth Estate#New ed#English|0007163541|9780007163540|
|Love @ Facebook|http://img6.flixcart.com/img/976/9788122311976.jpg|Nikita Singh#Books%Literature and Fiction%General#8122311970#9788122311976#Paperback#2011#Cedar Books#N.A.#English|8122311970|9788122311976|
|Aleph|http://img5.flixcart.com/img/093/9780007456093.jpg|Paulo Coelho#Books%Literature and Fiction%General#0007456093#9780007456093#Paperback#2011#Harpercollins#N.A.#English|0007456093|9780007456093|
