|Economic Survey 2011-12|http://img5.flixcart.com/image/book/5/1/5/economic-survey-2011-12-275x275-imad7wnhcg8eshtw.jpeg|GOVERNMENT OF INDIA MINISTRY OF FINANCE#Books%Reference%Yearbooks and Annuals#0198085516#9780198085515#Paperback#2012#Oxford University Press#N.A.#English|0198085516|9780198085515|
|The Accused: Theodore Boone (Book - 3)|http://img6.flixcart.com/image/book/1/9/4/the-accused-theodore-boone-book-3-275x275-imad7whbjcr8pza2.jpeg|John Grisham#Books%Children and Teens%Young Adult(13+)%Crime%Mystery and Thriller#1444757199#9781444757194#Paperback#2012#Hodder Paperbacks#N.A.#English|1444757199|9781444757194|
|The Affair|http://img8.flixcart.com/image/book/5/1/0/the-affair-275x275-imad9f69yay6xfwd.jpeg|Lee Child#Books%Literature and Fiction%Crime#0553825518#9780553825510#Paperback#2012#Bantam#N.A.#English|0553825518|9780553825510|
|ASURA: Tale Of The Vanquished|http://img8.flixcart.com/image/book/0/5/2/asura-tale-of-the-vanquished-275x275-imad8fcfjugrgcny.jpeg|Anand Neelakantan#Books%Literature and Fiction%Others%Sagas#9381576052#9789381576052#Paperback#2012#Leadstart Publishing Pvt Ltd#N.A.#English|9381576052|9789381576052|
|A Conspiracy Of Friends|http://img8.flixcart.com//image/book/8/5/1/a-conspiracy-of-friends-275x275-imad7q2zavjez7pm.jpeg|Alexander Mccall Smith#Books%Literature and Fiction%Literary Collections%Literary#0349123853#9780349123851#Paperback#2012#Abacus#N.A.#English|0349123853|9780349123851|
|My Kumaon: Uncollected Writings|http://img7.flixcart.com/image/book/8/9/7/my-kumaon-275x275-imad8e9uhumaebsq.jpeg|Jim Corbett#Books%Academic and Professional%History#0198082894#9780198082897#Paperback#2012#Oxford University Press#N.A.#English|0198082894|9780198082897|
|The Secret Of The Nagas|http://img6.flixcart.com/image/book/3/4/4/the-secret-of-the-nagas-275x275-imad9yrcf7jvhf9h.jpeg|Amish Tripathi#Books%Literature and Fiction%Action and Adventure#9381626340#9789381626344#Paperback#2012#Westland#N.A.#English|9381626340|9789381626344|
|Taj Mahal|http://img5.flixcart.com/image/book/3/6/1/taj-mahal-275x275-imad8hb6gur3emzv.jpeg|Raghu Rai#Books%Coffee Table%Popular Destinations%Indian Subcontinent%India#8189497367#9788189497361#Paperback#2012#Timeless Books#N.A.#English|8189497367|9788189497361|
|The Very Best of The Common Man|http://img5.flixcart.com/image/book/7/1/9/the-very-best-of-the-common-man-275x275-imad8v38jxgkncvg.jpeg|R. K. Laxman#Books%Humor%Comic Strips and Cartoons#0143418718#9780143418719#Paperback#2012#Penguin India#N.A.#English|0143418718|9780143418719|
|How I Braved Anu Aunty & Co-Founded A Million Dollar Company|http://img6.flixcart.com/image/book/7/9/7/how-i-braved-anu-aunty-co-founded-a-million-dollar-company-275x275-imad8v2r55kh8tzw.jpeg|Varun Agarwal#Books%Literature and Fiction%Others%Humorous#812911979X#9788129119797#Paperback#2012#Rupa Publication India#N.A.#English|812911979X|9788129119797|
